Record/Copybook/Screen	Field Name	COBOL PIC / Type	Angular State Target	Scope & Owner	Binding / Usage
fd-customer	CUS-ID	PIC X(10)	string	CustomerDTO / CustomerState	Readonly ID / Route param :id
fd-customer	CUS-ID-TYPE	PIC X(02)	CusIdType ('PF'|'PM'|'GO')	CustomerCreateForm / CustomerDTO	Select / Radio Button control
fd-customer	CUS-NAME	PIC X(60)	string	CustomerCreateForm / CustomerDTO	Input text (maxlength 60, required)
fd-customer	CUS-FIRST-LASTNAME	PIC X(30)	string	CustomerCreateForm / CustomerDTO	Input text (maxlength 30)
fd-customer	CUS-SECOND-LASTNAME	PIC X(30)	string	CustomerCreateForm / CustomerDTO	Input text (maxlength 30)
fd-customer	CUS-SHORT-NAME	PIC X(40)	string	CustomerDTO / CustomerState	Input text / Card preview label
fd-customer	CUS-RFC	PIC X(13)	string	CustomerCreateForm / CustomerDTO	Input text (satRfcValidator)
fd-customer	CUS-CURP	PIC X(18)	string	CustomerCreateForm / CustomerDTO	Input text (curpValidator)
fd-customer	CUS-REGISTRO-FISCAL	PIC X(20)	string	CustomerCreateForm / CustomerDTO	Input text (moral entity)
fd-customer	CUS-STRET	PIC X(40)	string	CustomerCreateForm.address	Input text (street)
fd-customer	CUS-NUM-EXT	PIC X(10)	string	CustomerCreateForm.address	Input text (ext number)
fd-customer	CUS-NUM-INT	PIC X(10)	string	CustomerCreateForm.address	Input text (int number)
fd-customer	CUS-COLONIA	PIC X(30)	string	CustomerCreateForm.address	Input text (neighborhood)
fd-customer	CUS-CIUDAD	PIC X(30)	string	CustomerCreateForm.address	Input text (city)
fd-customer	CUS-ESTADO	PIC X(20)	string	CustomerCreateForm.address	Input text / Select state
fd-customer	CUS-PAIS	PIC X(20)	string	CustomerCreateForm.address	Input text (country, default MEX)
fd-customer	CUS-CP	PIC X(05)	string	CustomerCreateForm.address	Input text (regex ^[0-9]{5}$)
fd-customer	CUS-TELEFONO1	PIC X(15)	string	CustomerCreateForm.contact	Input text (tel mask)
fd-customer	CUS-TELEFONO2	PIC X(15)	string	CustomerCreateForm.contact	Input text (tel mask optional)
fd-customer	CUS-CELULAR	PIC X(15)	string	CustomerCreateForm.contact	Input text (mobile tel mask)
fd-customer	CUS-EMAIL	PIC X(50)	string	CustomerCreateForm.contact	Input text (Validators.email)
fd-customer	CUS-EMPRESA	PIC X(40)	string	CustomerCreateForm.employment	Input text (company)
fd-customer	CUS-PUESTO	PIC X(30)	string	CustomerCreateForm.employment	Input text (job title)
fd-customer	CUS-INGRESO-MENSUAL	PIC 9(09)V99 COMP-3	number	CustomerCreateForm.employment	Numeric currency input (min 0)
fd-customer	CUS-SEGMENTO	PIC X(02)	CusSegment ('01'..'05')	CustomerDTO / CustomerState	Badge / Readonly display
fd-customer	CUS-RIESGO-CATEGORIA	PIC X(01)	CusRiskCategory ('A'|'B'|'C'|'D')	CustomerDTO / CustomerState	Badge / Readonly display
fd-customer	CUS-STATUS	PIC X(01)	CusStatus ('A'|'I'|'B'|'F')	CustomerDTO / CustomerState	Status tag / Chip
fd-customer	CUS-FECHA-ALTA	PIC 9(08)	string (YYYYMMDD)	CustomerDTO	Formatted date display (DD/MM/YYYY)
fd-customer	CUS-FECHA-ULT-MOD	PIC 9(08)	string (YYYYMMDD)	CustomerDTO	Formatted date display
fd-customer	CUS-FECHA-ULT-OP	PIC 9(08)	string (YYYYMMDD)	CustomerDTO	Formatted date display
fd-customer	CUS-USUARIO-ALTA	PIC X(08)	string	CustomerDTO	Audit display info
fd-customer	CUS-USUARIO-ULT-MOD	PIC X(08)	string	CustomerDTO	Audit display info
fd-customer	CUS-FECHA-NACIMIENTO	PIC 9(08)	string (YYYYMMDD)	CustomerCreateForm	Datepicker / Input cobolDateValidator
fd-customer	CUS-SEXO	PIC X(01)	CusGender ('M'|'F')	CustomerCreateForm	Radio group / Select
fd-customer	CUS-NACIONALIDAD	PIC X(03)	string	CustomerCreateForm	Select ISO-3166 code (MEX, USA)
fd-customer	CUS-ACTIVIDAD-ECONOMICA	PIC X(06)	string	CustomerCreateForm	Select SAT activity code
fd-account	ACT-NBR	PIC X(10)	string	AccountDTO / AccountState	Readonly ID / Route param :id
fd-account	ACT-TYPE	PIC X(02)	ActType ('CH'|'AH'|'NO'|'IN')	AccountOpenForm / AccountDTO	Select account type
fd-account	ACT-CURRENCY	PIC X(03)	CurrencyCode ('MXN'|'USD'|'EUR')	AccountOpenForm / AccountDTO	Select currency
fd-account	ACT-BALANCE	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-BALANCE-DISPONIBLE	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display (balance - hold)
fd-account	ACT-BALANCE-RETENIDO	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-BALANCE-SOBREGIRO	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-BALANCE-PROMEDIO	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-BALANCE-ANTERIOR	PIC S9(13)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-OVERDRAFT-LIMIT	PIC S9(09)V99 COMP-3	number	AccountDTO / AccountConfigForm	Currency input / display
fd-account	ACT-OVERDRAFT-RATE	PIC 9(03)V9(04) COMP-3	number	AccountDTO / AccountConfigForm	Percentage display (percent pipe)
fd-account	ACT-INTEREST-RATE	PIC 9(03)V9(04) COMP-3	number	AccountDTO / AccountConfigForm	Percentage display
fd-account	ACT-INTEREST-ACCRUED	PIC S9(09)V99 COMP-3	number	AccountDTO / AccountState	Currency pipe display
fd-account	ACT-MONTHLY-FEE	PIC 9(07)V99 COMP-3	number	AccountDTO / AccountConfigForm	Currency pipe display
fd-account	ACT-DATE-OPEN	PIC 9(08)	string (YYYYMMDD)	AccountDTO	Formatted date display
fd-account	ACT-DATE-CLOSE	PIC 9(08)	string (YYYYMMDD)	AccountDTO	Formatted date display (if closed)
fd-account	ACT-DATE-LAST-ACTIVITY	PIC 9(08)	string (YYYYMMDD)	AccountDTO	Formatted date display
